Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,21.18,21.21,21.03,21.06,20.09,10429400
2017-09-29,21.12,21.19,20.83,21.04,20.07,13225300
2017-10-02,20.92,20.92,20.48,20.7,19.75,17620100
2017-10-03,20.68,21.51,20.59,21.42,20.44,20186000
2017-10-04,21.37,21.5,21.08,21.2,20.23,13302000
2017-10-05,21.35,21.55,21.19,21.23,20.25,17195000
2017-10-06,21.11,21.13,20.89,21.07,20.1,7564200
2017-10-09,20.96,21.2,20.87,21.07,20.1,5283100
2017-10-10,21.31,21.83,21.2,21.56,20.57,32801000
2017-10-11,21.61,21.74,21.43,21.63,20.64,26552700
2017-10-12,21.63,21.63,21.63,21.63,20.64,0
2017-10-13,21.85,22.7,21.81,22.13,21.11,26243900
2017-10-16,22.25,22.25,21.76,21.92,20.91,13271300
2017-10-17,21.92,21.99,21.64,21.75,20.75,7051900
2017-10-18,21.8,21.94,21.68,21.78,20.78,14515700
2017-10-19,21.7,21.86,21.46,21.83,20.83,7696100
2017-10-20,21.83,21.91,21.46,21.53,20.54,11901300
2017-10-23,21.65,21.65,21.18,21.3,20.32,8081700
2017-10-24,21.44,21.44,21.24,21.32,20.34,11173800
2017-10-25,21.4,21.45,20.82,21.19,20.22,15875200
2017-10-26,21.28,21.3,20.85,21.04,20.07,11557100
2017-10-27,21.16,21.33,20.89,20.91,19.95,14504400
2017-10-30,20.87,20.99,20.65,20.96,20.0,17553000
2017-10-31,21.05,21.17,20.74,20.9,19.94,14383100
2017-11-01,21.0,21.22,20.74,20.74,19.79,16742000
2017-11-02,20.74,20.74,20.74,20.74,19.79,0
2017-11-03,20.74,20.78,20.43,20.6,19.65,20765200
2017-11-06,20.65,20.74,20.39,20.54,19.6,12867100
2017-11-07,20.43,20.53,20.1,20.2,19.27,17643000
2017-11-08,20.15,20.41,19.86,20.27,19.34,19153700
2017-11-09,20.34,20.37,20.07,20.22,19.29,12872400
2017-11-10,20.32,20.37,19.95,20.21,19.28,15202100
2017-11-13,20.2,20.34,19.99,20.22,19.29,9161800
2017-11-14,20.27,20.39,20.2,20.2,19.27,14925800
2017-11-15,20.2,20.2,20.2,20.2,19.27,0
2017-11-16,20.22,20.59,20.19,20.42,19.48,15850600
2017-11-17,20.39,20.68,20.3,20.54,19.6,9254300
2017-11-20,20.54,20.54,20.54,20.54,19.6,0
2017-11-21,20.68,20.95,20.51,20.81,19.85,13285900
2017-11-22,20.71,21.03,20.7,20.83,19.87,16883600
2017-11-23,20.75,20.85,20.51,20.71,19.76,5661300
2017-11-24,20.66,20.74,20.52,20.62,19.67,4749100
2017-11-27,20.6,20.78,20.36,20.74,19.79,8687300
2017-11-28,20.77,20.98,20.64,20.78,19.82,15988200
2017-11-29,20.96,20.96,20.51,20.56,19.61,15064800
2017-11-30,20.5,20.71,20.35,20.56,19.61,24640800
2017-12-01,20.45,20.52,20.3,20.45,19.51,7933800
2017-12-04,20.49,20.74,20.4,20.58,19.63,11058600
2017-12-05,20.51,20.9,20.48,20.55,19.61,15592800
2017-12-06,20.41,20.8,20.41,20.71,19.76,8274000
2017-12-07,20.54,20.8,20.36,20.72,19.77,12967300
2017-12-08,20.79,21.1,20.74,21.02,20.05,18886800
2017-12-11,21.05,21.18,20.93,21.15,20.18,13067700
