Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,21.34,21.56,21.08,21.49,18.13,4188100
2017-09-29,21.57,21.98,21.55,21.98,18.54,5126900
2017-10-02,22.0,22.15,21.2,21.5,18.14,9987200
2017-10-03,21.5,21.79,21.33,21.62,18.24,5154800
2017-10-04,21.76,22.2,21.43,21.88,18.46,4579100
2017-10-05,22.12,22.4,21.93,22.03,18.58,4407700
2017-10-06,21.9,21.9,21.52,21.73,18.33,2545700
2017-10-09,21.76,21.8,21.4,21.7,18.3,1926500
2017-10-10,21.91,21.93,21.43,21.56,18.19,3063100
2017-10-11,21.5,21.72,21.33,21.72,18.32,3514000
2017-10-12,21.72,21.72,21.72,21.72,18.32,0
2017-10-13,21.7,22.3,21.65,22.26,18.78,7207000
2017-10-16,22.34,22.37,21.98,22.26,18.78,4626300
2017-10-17,22.26,22.26,21.82,21.95,18.52,3263900
2017-10-18,21.95,22.15,21.8,22.04,18.59,4333100
2017-10-19,21.91,22.37,21.73,22.24,18.76,4649300
2017-10-20,22.24,22.83,22.2,22.51,18.99,6288100
2017-10-23,22.5,22.55,21.7,21.7,18.3,5803300
2017-10-24,21.8,22.05,21.25,21.33,17.99,6679700
2017-10-25,21.53,21.64,21.1,21.37,18.03,3660900
2017-10-26,21.43,21.44,20.9,20.95,17.67,5824100
2017-10-27,21.01,21.28,20.96,20.97,17.69,7983000
2017-10-30,21.0,21.0,20.15,20.45,17.25,7975900
2017-10-31,21.45,22.62,21.22,22.38,18.88,17884900
2017-11-01,22.38,23.22,22.07,23.03,19.43,12416100
2017-11-02,23.03,23.03,23.03,23.03,19.43,0
2017-11-03,23.1,24.13,22.9,23.91,20.17,20821400
2017-11-06,23.85,24.29,23.61,24.14,20.36,8833000
2017-11-07,23.8,24.1,23.32,23.32,19.67,12733000
2017-11-08,23.22,23.57,22.82,23.25,19.61,7422600
2017-11-09,23.26,23.75,22.89,23.1,19.49,4751100
2017-11-10,23.1,23.25,22.62,23.0,19.4,5746700
2017-11-13,22.83,22.83,22.83,22.83,19.26,6639100
2017-11-14,22.83,23.03,22.47,22.79,19.22,11459800
2017-11-15,22.79,22.79,22.79,22.79,19.22,0
2017-11-16,22.69,23.43,22.65,23.19,19.56,4471500
2017-11-17,23.34,23.47,23.09,23.4,19.74,4719000
2017-11-20,23.4,23.4,23.4,23.4,19.74,0
2017-11-21,23.51,23.8,23.29,23.8,20.08,9593900
2017-11-22,23.65,23.95,23.41,23.57,19.88,4410000
2017-11-23,23.56,23.56,23.16,23.3,19.65,1435400
2017-11-24,23.44,23.44,23.05,23.06,19.45,2089900
2017-11-27,23.03,23.41,22.65,23.1,19.49,4510600
2017-11-28,23.38,23.38,22.9,22.9,19.32,4863700
2017-11-29,23.13,23.36,22.88,22.99,19.39,5375900
2017-11-30,22.89,23.08,22.7,22.9,19.32,7245000
2017-12-01,22.7,23.26,22.7,23.12,19.5,4310600
2017-12-04,23.12,23.5,22.98,23.38,19.72,3967700
2017-12-05,23.38,23.89,23.21,23.48,19.81,3147900
2017-12-06,23.4,23.7,23.25,23.68,19.98,6321300
2017-12-07,23.37,23.86,23.24,23.42,19.76,4450900
2017-12-08,23.72,23.72,23.13,23.33,19.68,3722400
2017-12-11,23.26,23.6,23.26,23.56,19.87,5351200
2017-12-12,23.36,24.1,23.1,24.1,20.33,4065500
2017-12-13,24.12,24.25,23.59,23.79,20.07,6407500
2017-12-14,23.79,23.9,23.4,23.54,19.86,3978300
2017-12-15,23.36,23.97,23.25,23.77,20.05,9129100
2017-12-18,24.13,24.13,23.38,23.49,19.81,5019300
