Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,7.78,7.83,7.48,7.8,7.04,9795304
2017-09-29,7.88,7.94,7.66,7.74,6.98,7209095
2017-10-02,7.71,7.89,7.66,7.72,6.96,5491077
2017-10-03,7.75,8.2,7.75,8.16,7.36,7638961
2017-10-04,8.14,8.27,7.92,7.96,7.18,9222253
2017-10-05,8.03,8.31,8.02,8.13,7.33,8434424
2017-10-06,8.13,8.13,7.92,8.01,7.22,4406561
2017-10-09,8.01,8.11,7.91,7.99,7.2,3414992
2017-10-10,8.04,8.21,8.03,8.09,7.3,6103948
2017-10-11,8.25,8.29,8.06,8.1,7.31,7350836
2017-10-12,8.1,8.1,8.1,8.1,7.31,0
2017-10-13,8.07,8.16,7.98,8.12,7.33,6204425
2017-10-16,8.09,8.12,7.92,7.97,7.19,4538502
2017-10-17,7.96,7.97,7.8,7.88,7.11,9018410
2017-10-18,7.96,8.0,7.88,8.0,7.21,5186241
2017-10-19,7.95,8.06,7.93,8.05,7.26,5756094
2017-10-20,8.07,8.2,8.0,8.06,7.26,12772281
2017-10-23,8.07,8.13,7.89,7.99,7.2,13864946
2017-10-24,7.97,8.06,7.95,8.05,7.26,17152743
2017-10-25,8.04,8.11,7.87,7.98,7.19,5557924
2017-10-26,8.05,8.2,8.0,8.2,7.4,13566093
2017-10-27,8.23,8.3,7.9,8.0,7.21,13738700
2017-10-30,8.0,8.0,7.75,7.8,7.03,6555400
2017-10-31,7.82,7.85,7.66,7.73,6.97,7084200
2017-11-01,7.7,7.82,7.41,7.41,6.68,9242400
2017-11-02,7.41,7.41,7.41,7.41,6.68,0
2017-11-03,7.45,7.45,6.85,7.0,6.31,13872100
2017-11-06,7.0,7.0,7.0,7.0,6.31,0
2017-11-07,7.14,7.15,6.95,6.95,6.27,7418200
2017-11-08,7.0,7.2,6.97,7.2,6.49,7204700
2017-11-09,7.12,7.19,6.97,7.0,6.31,7875700
2017-11-10,7.0,7.0,6.7,6.76,6.1,13721100
2017-11-13,6.74,6.85,6.68,6.77,6.1,7119700
2017-11-14,6.8,6.83,6.55,6.55,5.91,11223900
2017-11-15,6.55,6.55,6.55,6.55,5.91,0
2017-11-16,6.62,6.62,6.45,6.58,5.93,11167000
2017-11-17,6.6,6.7,6.51,6.65,6.0,8586300
