Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,19.71,19.75,19.13,19.55,19.06,2102100
2017-09-29,19.84,19.91,19.09,19.76,19.27,2352600
2017-10-02,19.53,20.82,19.45,20.54,20.03,2023000
2017-10-03,20.85,21.8,20.64,21.8,21.25,3003100
2017-10-04,21.64,22.0,21.42,21.85,21.3,1336800
2017-10-05,22.0,22.15,21.34,21.47,20.93,2428100
2017-10-06,21.0,21.27,20.63,20.81,20.29,2736400
2017-10-09,20.76,21.05,20.46,20.72,20.2,1302700
2017-10-10,20.99,21.46,20.85,21.3,20.77,1622700
2017-10-11,21.4,21.46,20.81,21.03,20.5,1553500
2017-10-12,21.03,21.03,21.03,21.03,20.5,0
2017-10-13,21.04,21.14,20.67,21.02,20.49,1805000
2017-10-16,21.05,21.08,20.65,20.85,20.33,1662900
2017-10-17,20.8,20.99,20.2,20.56,20.05,1270100
2017-10-18,20.62,20.89,20.28,20.82,20.3,1762700
2017-10-19,20.89,20.89,20.37,20.55,20.04,1170000
2017-10-20,20.58,21.73,20.58,21.66,21.12,2905400
2017-10-23,21.8,22.87,21.47,22.45,21.89,5653300
2017-10-24,22.6,23.0,22.11,22.59,22.02,2852700
2017-10-25,23.01,23.6,23.01,23.37,22.79,3128100
2017-10-26,23.52,24.49,23.25,23.47,22.88,4151300
2017-10-27,23.51,24.2,22.76,23.41,22.82,2191400
2017-10-30,23.34,23.48,22.31,22.59,22.02,2866900
2017-10-31,22.78,22.97,22.0,22.05,21.5,1847600
2017-11-01,22.1,22.1,20.43,20.75,20.23,4680100
2017-11-02,20.75,20.75,20.75,20.75,20.23,0
2017-11-03,20.4,20.4,19.2,19.68,19.19,5546300
2017-11-06,19.87,20.97,19.73,20.72,20.2,4872100
2017-11-07,21.5,22.24,20.5,21.22,20.69,7150300
2017-11-08,21.45,21.7,20.35,21.5,20.96,3121900
2017-11-09,21.3,21.88,20.31,20.44,19.93,4472000
2017-11-10,20.44,20.56,19.23,20.0,19.5,5795700
2017-11-13,19.85,20.45,19.75,20.25,19.74,2406700
2017-11-14,20.39,20.54,19.22,19.48,18.99,3133700
2017-11-15,19.48,19.48,19.48,19.48,18.99,0
2017-11-16,19.8,20.39,19.59,20.02,19.52,2846300
2017-11-17,20.02,20.35,19.54,20.18,19.68,2638800
2017-11-20,20.18,20.18,20.18,20.18,19.68,0
2017-11-21,20.45,20.96,20.07,20.45,19.94,2492900
2017-11-22,20.45,20.99,20.32,20.7,20.18,1947500
2017-11-23,20.71,21.3,20.43,21.0,20.47,1933500
2017-11-24,20.84,21.13,20.43,20.72,20.2,1482500
2017-11-27,20.48,20.84,20.11,20.6,20.08,2341300
2017-11-28,20.85,21.09,19.88,20.25,19.74,2085500
2017-11-29,20.19,20.45,19.73,19.99,19.49,2622400
2017-11-30,19.84,19.84,18.55,18.73,18.26,5473700
2017-12-01,18.7,18.96,18.24,18.75,18.28,2852200
2017-12-04,19.0,19.36,18.71,19.06,18.58,2511400
2017-12-05,19.23,19.75,18.81,18.92,18.45,1789800
2017-12-06,18.71,19.36,18.35,19.1,18.62,2117500
2017-12-07,18.75,19.15,18.45,18.9,18.43,2123000
2017-12-08,19.05,19.11,18.4,18.58,18.12,2088900
2017-12-11,18.62,18.83,18.15,18.32,17.86,1906100
2017-12-12,18.33,18.61,17.51,18.6,18.13,3489800
2017-12-13,18.85,19.1,17.9,18.14,17.69,4747300
2017-12-14,18.1,18.15,17.3,17.45,17.01,3775100
2017-12-15,17.45,17.8,17.2,17.61,17.17,2816900
2017-12-18,18.11,18.3,17.55,17.72,17.28,2773600
2017-12-19,17.75,17.75,17.27,17.45,17.01,1915900
2017-12-20,17.5,17.66,17.09,17.15,16.72,1416300
2017-12-21,17.4,18.14,16.86,18.0,17.55,4592300
2017-12-22,18.1,18.86,17.87,18.78,18.31,2164000
2017-12-25,18.78,18.78,18.78,18.78,18.31,0
2017-12-26,18.78,18.85,18.3,18.4,17.94,1583500
2017-12-27,18.38,18.6,18.1,18.38,17.92,941700
2017-12-28,18.48,19.5,18.18,19.34,18.86,3285300
2017-12-29,19.34,19.34,19.34,19.34,18.86,0
2018-01-02,19.6,19.63,18.75,18.79,18.32,2747100
2018-01-03,18.73,18.87,18.42,18.55,18.09,1462300
2018-01-04,18.61,18.68,18.23,18.43,17.97,2526800
2018-01-05,18.54,18.61,18.06,18.26,17.8,1771000
2018-01-08,18.26,18.5,18.16,18.38,17.92,1321000
2018-01-09,18.36,18.44,17.53,17.65,17.21,3089100
2018-01-10,17.56,17.77,16.81,16.94,16.52,3971600
2018-01-11,17.1,17.4,16.86,17.2,16.77,1993700
2018-01-12,17.0,17.37,16.58,16.81,16.39,2978300
2018-01-15,17.05,17.15,16.6,17.03,16.6,1678000
2018-01-16,17.0,17.61,16.99,17.22,16.79,3233700
2018-01-17,17.12,17.43,16.87,17.27,16.84,1902200
2018-01-18,17.41,17.41,16.85,17.15,16.72,1674500
