Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,11.2,11.2,10.78,10.86,10.39,16749100
2017-09-29,10.98,11.13,10.89,11.04,10.56,7879600
2017-10-02,11.11,11.2,10.93,11.0,10.53,10876400
2017-10-03,11.02,11.55,11.01,11.4,10.91,13322500
2017-10-04,11.3,11.4,11.2,11.37,10.88,8732400
2017-10-05,11.48,11.76,11.08,11.08,10.6,12247200
2017-10-06,10.99,11.02,10.67,10.76,10.3,14165700
2017-10-09,10.83,10.89,10.43,10.7,10.24,10860800
2017-10-10,10.8,11.24,10.74,11.15,10.67,18168500
2017-10-11,11.12,11.3,10.88,11.02,10.55,13266100
2017-10-12,11.02,11.02,11.02,11.02,10.55,0
2017-10-13,11.3,11.5,11.23,11.44,10.95,8714000
2017-10-16,11.57,11.72,11.37,11.42,10.93,8048400
2017-10-17,11.37,11.56,11.27,11.32,10.83,7061800
2017-10-18,11.46,11.71,11.33,11.66,11.16,12802000
2017-10-19,11.53,11.83,11.43,11.72,11.22,10293000
2017-10-20,11.82,11.93,11.68,11.68,11.18,7125200
2017-10-23,11.8,11.9,11.57,11.63,11.13,7236000
2017-10-24,11.65,12.04,11.65,12.02,11.5,8168200
2017-10-25,12.05,12.13,11.81,12.05,11.53,6530000
2017-10-26,12.12,12.2,11.64,11.74,11.23,9671000
2017-10-27,11.69,11.85,11.43,11.58,11.08,9238700
2017-10-30,11.53,11.61,11.13,11.25,10.77,9214900
2017-10-31,11.3,11.35,10.82,10.95,10.48,15856400
2017-11-01,11.02,11.15,10.61,10.67,10.21,16363800
2017-11-02,10.67,10.67,10.67,10.67,10.21,0
2017-11-03,10.8,10.82,10.19,10.78,10.32,13789200
2017-11-06,11.0,11.09,10.76,10.96,10.49,8173900
2017-11-07,10.97,10.98,10.5,10.57,10.11,11975000
2017-11-08,10.75,10.87,10.58,10.7,10.24,11203400
2017-11-09,10.63,10.65,10.25,10.47,10.02,9452100
2017-11-10,10.5,10.53,10.17,10.28,9.84,7943100
2017-11-13,10.27,10.44,10.16,10.44,9.99,7632500
2017-11-14,10.5,10.5,9.95,9.95,9.52,11766500
2017-11-15,9.95,9.95,9.95,9.95,9.52,0
2017-11-16,10.08,10.35,10.04,10.25,9.81,8495900
2017-11-17,10.25,10.59,10.16,10.54,10.09,9200100
2017-11-20,10.54,10.54,10.54,10.54,10.09,0
2017-11-21,10.69,10.77,10.48,10.53,10.08,8740700
2017-11-22,10.66,10.83,10.52,10.69,10.26,9405300
2017-11-23,10.69,10.92,10.62,10.85,10.41,4795500
2017-11-24,10.9,10.99,10.65,10.77,10.34,7643100
2017-11-27,10.77,11.12,10.76,11.06,10.61,8751300
2017-11-28,11.1,11.21,10.97,10.98,10.54,10141300
2017-11-29,11.05,11.15,10.92,11.1,10.65,11319200
2017-11-30,11.04,11.18,10.87,11.08,10.63,21725200
2017-12-01,11.03,11.19,10.78,11.05,10.6,9270500
2017-12-04,11.19,11.39,11.11,11.29,10.83,8056700
2017-12-05,11.32,11.48,11.11,11.13,10.68,6255300
2017-12-06,11.07,11.2,10.97,11.13,10.68,4986300
2017-12-07,10.98,11.34,10.83,11.27,10.82,10926200
2017-12-08,11.32,11.77,11.23,11.7,11.23,16830900
2017-12-11,11.77,11.98,11.71,11.84,11.36,12055500
2017-12-12,11.78,12.0,11.53,12.0,11.52,7514300
2017-12-13,12.03,12.08,11.66,11.75,11.28,10178800
2017-12-14,11.63,11.91,11.55,11.84,11.36,7546700
2017-12-15,11.83,12.06,11.78,12.06,11.57,10615100
