Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,5.22,5.22,5.05,5.12,4.87,15889500
2017-09-29,5.18,5.3,5.17,5.29,5.03,20503300
2017-10-02,5.34,5.39,5.24,5.33,5.07,13209200
2017-10-03,5.36,5.63,5.36,5.62,5.35,21259900
2017-10-04,5.55,5.7,5.48,5.7,5.42,19914800
2017-10-05,5.8,5.93,5.45,5.45,5.18,34565500
2017-10-06,5.35,5.48,5.3,5.34,5.08,21412900
2017-10-09,5.39,5.41,5.2,5.37,5.11,16208500
2017-10-10,5.44,5.66,5.4,5.66,5.38,22934800
2017-10-11,5.6,5.71,5.52,5.57,5.3,18417600
2017-10-12,5.57,5.57,5.57,5.57,5.3,0
2017-10-13,5.71,5.75,5.65,5.67,5.39,13154100
2017-10-16,5.75,5.77,5.54,5.58,5.31,17292700
2017-10-17,5.54,5.57,5.48,5.5,5.23,8103000
2017-10-18,5.56,5.62,5.48,5.6,5.33,12884600
2017-10-19,5.51,5.72,5.49,5.66,5.38,12069000
2017-10-20,5.7,5.76,5.6,5.6,5.33,11458400
2017-10-23,5.65,5.69,5.51,5.56,5.29,9772600
2017-10-24,5.61,5.69,5.54,5.69,5.41,10594900
2017-10-25,5.7,5.75,5.61,5.74,5.46,11502100
2017-10-26,5.76,5.79,5.51,5.51,5.24,11228100
2017-10-27,5.49,5.57,5.41,5.5,5.23,17819900
2017-10-30,5.45,5.48,5.14,5.22,4.96,17591000
2017-10-31,5.29,5.31,5.06,5.11,4.86,25053300
2017-11-01,5.2,5.21,4.93,4.95,4.71,26372000
2017-11-02,4.95,4.95,4.95,4.95,4.71,0
2017-11-03,4.97,5.16,4.77,5.15,4.9,24149100
2017-11-06,5.24,5.24,5.07,5.23,4.97,14295400
2017-11-07,5.18,5.18,4.85,4.92,4.68,21455700
2017-11-08,5.03,5.15,4.92,5.14,4.89,17367600
2017-11-09,5.09,5.11,4.88,4.92,4.68,15027300
2017-11-10,4.92,4.98,4.73,4.77,4.54,13841200
2017-11-13,4.8,4.89,4.7,4.83,4.59,12141000
2017-11-14,4.87,4.87,4.57,4.57,4.35,16402700
2017-11-15,4.57,4.57,4.57,4.57,4.35,0
2017-11-16,4.65,4.76,4.56,4.7,4.47,16125200
2017-11-17,4.71,4.85,4.64,4.81,4.57,16079600
2017-11-20,4.81,4.81,4.81,4.81,4.57,0
2017-11-21,4.88,4.97,4.77,4.84,4.6,14518800
2017-11-22,4.88,5.04,4.85,4.96,4.74,16001300
2017-11-23,4.99,5.1,4.92,5.03,4.8,8074000
2017-11-24,5.08,5.12,4.94,4.97,4.75,8071100
2017-11-27,4.95,5.16,4.92,5.12,4.89,13142700
2017-11-28,5.15,5.21,5.03,5.06,4.83,12187700
2017-11-29,5.1,5.15,4.99,5.13,4.9,14030800
2017-11-30,5.09,5.11,5.0,5.07,4.84,14167200
2017-12-01,5.02,5.13,4.97,5.07,4.84,28605000
2017-12-04,5.13,5.33,5.12,5.32,5.08,18095200
2017-12-05,5.33,5.41,5.25,5.28,5.04,16558100
2017-12-06,5.24,5.29,5.17,5.26,5.02,15097000
2017-12-07,5.14,5.24,5.11,5.2,4.97,12677800
2017-12-08,5.27,5.46,5.2,5.35,5.11,16927900
2017-12-11,5.42,5.54,5.4,5.43,5.19,13536200
2017-12-12,5.38,5.47,5.29,5.47,5.22,12070700
2017-12-13,5.52,5.54,5.32,5.37,5.13,17296200
2017-12-14,5.25,5.54,5.25,5.53,5.28,16426800
2017-12-15,5.51,5.73,5.48,5.73,5.47,33771600
2017-12-18,5.79,5.82,5.54,5.54,5.29,15079100
2017-12-19,5.5,5.62,5.46,5.57,5.32,10655100
2017-12-20,5.61,5.8,5.61,5.71,5.45,13662800
2017-12-21,5.72,5.79,5.65,5.73,5.47,10137400
2017-12-22,5.72,5.79,5.69,5.72,5.46,5973800
2017-12-25,5.72,5.72,5.72,5.72,5.46,0
2017-12-26,5.71,5.86,5.68,5.85,5.59,7790900
2017-12-27,5.85,5.9,5.77,5.8,5.54,8958300
2017-12-28,5.81,5.85,5.76,5.79,5.53,5553900
2017-12-29,5.79,5.79,5.79,5.79,5.53,0
2018-01-02,5.83,6.12,5.83,6.05,5.78,19573400
2018-01-03,6.08,6.17,6.0,6.03,5.76,18650400
2018-01-04,6.08,6.32,6.08,6.25,5.97,25449900
2018-01-05,6.28,6.37,6.16,6.27,5.99,14143800
2018-01-08,6.27,6.36,6.21,6.35,6.06,11728400
2018-01-09,6.36,6.45,6.29,6.34,6.05,21606300
2018-01-10,6.29,6.41,6.22,6.36,6.07,19956000
2018-01-11,6.4,6.72,6.38,6.68,6.38,24755800
2018-01-12,6.56,6.99,6.52,6.85,6.54,37334700
2018-01-15,6.99,7.02,6.82,6.82,6.51,22725100
2018-01-16,6.79,6.94,6.67,6.67,6.37,19953100
2018-01-17,6.72,6.93,6.63,6.92,6.61,22502400
2018-01-18,6.98,6.99,6.75,6.82,6.51,17501500
2018-01-19,6.9,6.92,6.47,6.57,6.27,35517400
2018-01-22,6.57,6.68,6.52,6.62,6.32,10811500
2018-01-23,6.59,6.59,6.31,6.41,6.12,15214800
2018-01-24,6.49,6.75,6.47,6.72,6.42,23023400
2018-01-25,6.72,6.72,6.72,6.72,6.42,0
2018-01-26,6.81,6.92,6.57,6.87,6.56,27290000
2018-01-29,6.8,6.97,6.68,6.73,6.43,22493500
2018-01-30,6.69,6.88,6.66,6.83,6.52,17272600
2018-01-31,6.92,7.17,6.84,6.88,6.57,29927500
2018-02-01,6.94,7.02,6.88,6.96,6.65,16168300
2018-02-02,6.88,7.02,6.81,6.95,6.64,17952300
2018-02-05,6.9,6.92,6.59,6.59,6.29,14747900
2018-02-06,6.47,6.81,6.43,6.75,6.45,23611500
2018-02-07,6.74,6.88,6.62,6.67,6.37,17328200
2018-02-08,6.72,6.79,6.51,6.55,6.26,22145200
2018-02-09,6.64,6.7,6.42,6.62,6.32,15293600
2018-02-14,6.7,6.92,6.7,6.86,6.55,14372900
2018-02-15,7.01,7.1,6.9,7.04,6.72,20069000
2018-02-16,7.01,7.5,7.01,7.44,7.11,28269500
2018-02-19,7.59,7.85,7.52,7.77,7.42,20408300
2018-02-20,7.7,7.83,7.56,7.63,7.29,22379700
2018-02-21,7.69,8.0,7.69,7.84,7.49,21257300
2018-02-22,7.91,7.98,7.75,7.82,7.47,14830800
2018-02-23,7.87,7.92,7.7,7.91,7.55,15878500
2018-02-26,8.06,8.43,8.06,8.19,7.82,21528100
2018-02-27,8.22,8.27,7.95,8.0,7.64,17473800
2018-02-28,8.1,8.23,7.88,7.88,7.53,24181800
2018-03-01,7.99,8.17,7.89,7.98,7.62,33218800
2018-03-02,7.88,8.02,7.45,7.79,7.44,33031900
2018-03-05,7.66,8.03,7.59,7.9,7.54,21343400
2018-03-06,8.0,8.13,7.6,7.65,7.31,21687700
2018-03-07,7.73,7.82,7.47,7.81,7.46,18389600
2018-03-08,7.87,7.87,7.5,7.61,7.27,20309400
2018-03-09,7.52,7.74,7.34,7.57,7.23,19808700
2018-03-12,7.6,7.72,7.6,7.66,7.32,9834300
2018-03-13,7.72,7.82,7.62,7.62,7.28,12039700
