Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,9.87,9.91,9.8,9.84,8.58,18345030
2017-09-29,9.89,10.06,9.87,10.03,8.74,17960250
2017-10-02,10.01,10.02,9.92,9.96,8.69,15668070
2017-10-03,9.99,10.35,9.97,10.35,9.03,17184970
2017-10-04,10.36,10.36,10.16,10.28,8.97,12922470
2017-10-05,10.32,10.52,10.32,10.35,9.02,19402790
2017-10-06,10.32,10.32,10.2,10.3,8.98,12070300
2017-10-09,10.31,10.31,10.09,10.15,8.85,12257960
2017-10-10,10.25,10.37,10.21,10.35,9.03,13314180
2017-10-11,10.32,10.38,10.25,10.33,9.01,16348310
2017-10-12,10.33,10.33,10.33,10.33,9.01,0
2017-10-13,10.36,10.42,10.22,10.32,9.0,17186950
2017-10-16,10.35,10.36,10.19,10.27,8.96,10215370
2017-10-17,10.27,10.27,10.15,10.15,8.86,10425910
2017-10-18,10.17,10.25,10.13,10.2,8.9,20745670
2017-10-19,10.18,10.18,10.01,10.14,8.84,11773960
2017-10-20,10.16,10.19,10.08,10.14,8.84,6907670
2017-10-23,10.14,10.15,9.88,9.9,8.63,13796200
2017-10-24,9.93,10.12,9.85,10.12,8.82,22014190
2017-10-25,10.15,10.29,10.03,10.27,8.96,30815400
2017-10-26,10.29,10.35,10.09,10.16,8.86,12797950
2017-10-27,10.17,10.26,10.09,10.14,8.84,13853070
2017-10-30,10.13,10.14,9.76,9.85,8.59,26870140
2017-10-31,9.92,9.96,9.53,9.53,8.31,29600890
2017-11-01,9.67,9.68,9.42,9.45,8.25,25265790
2017-11-02,9.45,9.45,9.45,9.45,8.25,0
2017-11-03,9.53,9.62,9.41,9.55,8.32,30502670
2017-11-06,9.63,9.67,9.55,9.57,8.35,24349600
2017-11-07,9.56,9.58,9.33,9.36,8.17,23333750
2017-11-08,9.41,9.75,9.41,9.67,8.44,21788690
2017-11-09,9.68,9.68,9.46,9.52,8.3,17279680
2017-11-10,9.53,9.56,9.41,9.52,8.3,10350780
2017-11-13,9.52,9.52,9.52,9.52,8.3,13410320
2017-11-14,9.52,9.67,9.35,9.38,8.18,21098660
2017-11-15,9.38,9.38,9.38,9.38,8.18,0
2017-11-16,9.37,9.62,9.37,9.53,8.31,11761970
2017-11-17,9.55,9.7,9.47,9.64,8.4,17677000
2017-11-20,9.64,9.64,9.64,9.64,8.4,0
2017-11-21,9.73,9.93,9.73,9.78,8.53,18199610
2017-11-22,9.8,9.85,9.68,9.75,8.51,17350080
2017-11-23,9.76,9.79,9.64,9.75,8.5,6641030
2017-11-24,9.76,9.76,9.65,9.65,8.42,8565810
2017-11-27,9.64,9.81,9.55,9.81,8.55,8871720
2017-11-28,9.86,9.91,9.75,9.77,8.52,11269060
2017-11-29,9.8,9.85,9.54,9.54,8.32,14136870
2017-11-30,9.51,9.55,9.34,9.44,8.23,32623470
2017-12-01,9.35,9.55,9.32,9.51,8.31,15163720
2017-12-04,9.59,9.73,9.51,9.55,8.34,12099340
2017-12-05,9.55,9.75,9.42,9.5,8.3,12096150
2017-12-06,9.48,9.64,9.35,9.64,8.42,13972640
2017-12-07,9.48,9.57,9.33,9.53,8.32,20313370
2017-12-08,9.59,9.69,9.56,9.56,8.35,9931790
2017-12-11,9.62,9.69,9.54,9.61,8.39,11328680
2017-12-12,9.57,9.71,9.45,9.71,8.48,17588560
2017-12-13,9.75,9.78,9.49,9.57,8.36,25944710
2017-12-14,9.55,9.55,9.41,9.55,8.34,40793280
