Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,28.79,28.87,28.55,28.65,27.2,12241050
2017-09-29,28.96,29.08,28.75,28.9,27.43,14988000
2017-10-02,28.77,29.09,28.7,28.94,27.49,7021050
2017-10-03,29.02,29.93,28.85,29.93,28.43,18921150
2017-10-04,30.0,30.05,29.63,29.67,28.18,11171100
2017-10-05,29.96,30.53,29.88,30.14,28.63,21311400
2017-10-06,29.87,29.99,29.61,29.79,28.29,8886000
2017-10-09,29.73,29.79,29.34,29.43,27.96,9048600
2017-10-10,29.77,30.17,29.67,30.07,28.56,12847350
2017-10-11,30.12,30.23,29.85,30.0,28.49,18704400
2017-10-12,30.0,30.0,30.0,30.0,28.49,0
2017-10-13,30.25,30.46,29.69,29.75,28.26,13217550
2017-10-16,29.99,29.99,29.45,29.6,28.11,11060100
2017-10-17,29.61,29.67,29.37,29.55,28.07,12496800
2017-10-18,29.6,29.81,29.41,29.61,28.12,12707100
2017-10-19,29.47,29.55,29.09,29.39,27.92,7567050
2017-10-20,29.61,29.65,29.33,29.33,27.86,5990550
2017-10-23,29.41,29.53,28.94,29.06,27.6,9737850
2017-10-24,29.41,29.53,28.81,29.27,27.8,11835450
2017-10-25,29.4,29.61,28.92,29.47,27.99,11770200
2017-10-26,29.65,29.76,29.15,29.29,27.82,10800300
2017-10-27,29.29,29.63,29.1,29.11,27.65,12710400
2017-10-30,29.11,29.2,28.46,28.74,27.3,16130250
2017-10-31,29.03,29.03,27.88,28.03,26.63,25162350
2017-11-01,28.3,28.35,27.55,27.55,26.18,19091700
2017-11-02,27.55,27.55,27.55,27.55,26.18,0
2017-11-03,27.71,28.04,27.63,27.94,26.55,20633100
2017-11-06,27.94,27.94,27.94,27.94,26.55,0
2017-11-07,27.93,27.99,27.3,27.4,26.04,18572250
2017-11-08,27.5,28.44,27.5,28.4,26.99,19143450
2017-11-09,28.47,28.52,27.58,27.63,26.26,19030650
2017-11-10,27.63,27.87,27.33,27.67,26.3,15348150
2017-11-13,27.81,27.81,27.81,27.81,26.43,14585700
2017-11-14,27.81,27.93,27.26,27.28,25.92,19664700
2017-11-15,27.28,27.28,27.28,27.28,25.92,0
2017-11-16,27.31,28.13,27.31,27.97,26.58,13183050
2017-11-17,27.97,28.47,27.82,28.35,26.94,11203500
2017-11-20,28.35,28.35,28.35,28.35,26.94,0
2017-11-21,28.65,29.2,28.61,28.92,27.48,12720300
2017-11-22,28.99,29.02,28.45,28.64,27.22,16284900
2017-11-23,28.61,28.61,28.25,28.55,27.13,4253100
2017-11-24,28.49,28.59,28.07,28.29,26.88,6183900
2017-11-27,28.07,28.47,27.97,28.46,27.05,9307200
2017-11-28,28.66,28.89,28.39,28.51,27.09,10623600
2017-11-29,28.7,28.74,27.92,27.92,26.53,16409400
2017-11-30,27.76,27.96,27.41,27.51,26.15,27095250
2017-12-01,27.39,27.73,27.13,27.49,26.14,10325700
2017-12-04,27.7,28.29,27.58,27.89,26.52,15442950
2017-12-05,27.89,28.44,27.6,27.73,26.36,11733450
2017-12-06,27.57,28.15,27.32,28.02,26.64,11499150
2017-12-07,27.51,28.01,27.18,27.93,26.55,21627600
2017-12-08,28.13,28.43,28.13,28.17,26.78,14982900
2017-12-11,28.37,28.52,28.1,28.24,26.85,9723750
2017-12-12,28.14,28.59,27.78,28.47,27.07,16278900
2017-12-13,28.66,28.73,27.74,27.83,26.46,42014850
2017-12-14,27.73,27.73,27.25,27.39,26.05,41523750
2017-12-15,27.33,27.67,27.18,27.39,26.18,37859700
2017-12-18,27.72,27.83,27.39,27.39,26.18,34887600
2017-12-19,27.33,27.41,27.11,27.23,26.03,17776650
2017-12-20,27.35,27.52,27.21,27.33,26.13,11527800
2017-12-21,27.37,28.55,27.37,28.49,27.23,31109250
2017-12-22,28.25,28.41,28.15,28.35,27.1,7446450
2017-12-25,28.35,28.35,28.35,28.35,27.1,0
2017-12-26,28.36,28.66,28.26,28.47,27.21,6612300
2017-12-27,28.5,28.61,28.3,28.31,27.06,6183150
2017-12-28,28.34,28.53,28.34,28.39,27.13,15944700
2017-12-29,28.39,28.39,28.39,28.39,27.13,0
