Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,6.64,6.64,6.38,6.39,6.39,1402900
2017-09-29,6.46,6.53,6.39,6.47,6.47,1693500
2017-10-02,6.49,6.56,6.31,6.42,6.42,3598100
2017-10-03,6.46,6.73,6.42,6.67,6.67,2416000
2017-10-04,6.72,6.78,6.61,6.72,6.72,1320500
2017-10-05,6.75,6.85,6.63,6.63,6.63,1537700
2017-10-06,6.57,6.76,6.52,6.7,6.7,1531100
2017-10-09,6.74,6.74,6.39,6.39,6.39,2353200
2017-10-10,6.45,6.56,6.38,6.44,6.44,1476500
2017-10-11,6.5,6.63,6.44,6.63,6.63,1375200
2017-10-12,6.63,6.63,6.63,6.63,6.63,0
2017-10-13,6.62,6.65,6.52,6.61,6.61,991700
2017-10-16,6.65,6.65,6.43,6.56,6.56,998000
2017-10-17,6.59,6.6,6.46,6.5,6.5,1282800
2017-10-18,6.52,6.57,6.46,6.52,6.52,1765000
2017-10-19,6.48,6.48,6.35,6.37,6.37,1222600
2017-10-20,6.37,6.44,6.28,6.39,6.39,1051600
2017-10-23,6.5,6.55,6.35,6.35,6.35,2125200
2017-10-24,6.4,6.46,6.32,6.46,6.46,1362600
2017-10-25,6.46,6.56,6.4,6.56,6.56,1081500
2017-10-26,6.57,6.59,6.38,6.38,6.38,1626200
2017-10-27,6.42,6.55,6.39,6.55,6.55,1316000
2017-10-30,6.55,6.55,6.22,6.25,6.25,1539300
2017-10-31,6.3,6.43,6.16,6.43,6.43,1919100
2017-11-01,6.42,6.48,6.3,6.3,6.3,1124700
2017-11-02,6.3,6.3,6.3,6.3,6.3,0
2017-11-03,6.31,6.33,6.08,6.15,6.15,1786300
2017-11-06,6.13,6.21,6.02,6.1,6.1,1146700
2017-11-07,6.07,6.14,5.87,5.99,5.99,1809700
2017-11-08,5.97,6.65,5.97,6.65,6.65,2728500
2017-11-09,6.62,6.73,6.48,6.66,6.66,2625200
2017-11-10,6.66,6.74,6.53,6.6,6.6,1857100
2017-11-13,6.6,6.83,6.51,6.83,6.83,803200
2017-11-14,6.77,6.8,6.6,6.71,6.71,1706200
2017-11-15,6.71,6.71,6.71,6.71,6.71,0
2017-11-16,6.69,6.98,6.69,6.85,6.85,1290400
2017-11-17,6.85,6.9,6.79,6.85,6.85,1076400
2017-11-20,6.85,6.85,6.85,6.85,6.85,0
2017-11-21,6.9,7.09,6.86,7.09,7.09,1910600
2017-11-22,7.05,7.12,7.0,7.06,7.06,1465000
2017-11-23,7.01,7.04,6.84,6.96,6.96,618400
2017-11-24,6.95,7.05,6.94,7.05,7.05,515200
2017-11-27,6.99,7.01,6.85,6.89,6.89,720100
2017-11-28,6.93,7.13,6.9,7.0,7.0,3547000
2017-11-29,6.95,7.02,6.75,6.96,6.96,1568500
2017-11-30,6.91,6.91,6.75,6.85,6.85,1936900
2017-12-01,6.77,6.92,6.72,6.88,6.88,1838100
2017-12-04,6.89,7.2,6.87,7.14,7.14,4909900
2017-12-05,7.15,7.27,6.9,6.9,6.9,2120900
2017-12-06,6.88,7.04,6.8,6.95,6.95,1296200
2017-12-07,6.87,6.92,6.66,6.85,6.85,1748800
2017-12-08,6.87,6.92,6.73,6.74,6.74,1061400
2017-12-11,6.76,6.85,6.71,6.78,6.78,1295400
2017-12-12,6.78,7.0,6.66,7.0,7.0,1426800
2017-12-13,7.0,7.21,6.8,6.84,6.84,3314900
2017-12-14,6.84,6.86,6.66,6.86,6.86,1083100
2017-12-15,6.79,6.92,6.75,6.75,6.75,1941500
2017-12-18,6.8,6.85,6.67,6.73,6.73,1732200
2017-12-19,6.7,6.78,6.61,6.73,6.73,1861300
2017-12-20,6.75,6.86,6.71,6.82,6.82,1833000
2017-12-21,6.77,6.82,6.73,6.82,6.82,1994300
2017-12-22,6.78,6.95,6.74,6.89,6.89,11542400
2017-12-25,6.89,6.89,6.89,6.89,6.89,0
2017-12-26,6.87,7.17,6.84,7.08,7.08,914900
2017-12-27,7.12,7.19,7.05,7.11,7.11,727500
2017-12-28,7.14,7.32,7.1,7.32,7.32,1427300
2017-12-29,7.32,7.32,7.32,7.32,7.32,0
2018-01-02,7.33,7.37,7.21,7.3,7.3,1050300
2018-01-03,7.26,7.42,7.21,7.22,7.22,1052100
2018-01-04,7.26,7.32,7.16,7.22,7.22,1848800
2018-01-05,7.25,7.35,7.19,7.28,7.28,762200
2018-01-08,7.28,7.29,7.09,7.15,7.15,1382900
2018-01-09,7.16,7.16,7.0,7.06,7.06,1281900
2018-01-10,7.02,7.07,6.98,7.05,7.05,698800
2018-01-11,7.05,7.1,6.95,7.06,7.06,1025300
2018-01-12,7.0,7.04,6.88,6.88,6.88,1368200
2018-01-15,6.93,6.94,6.81,6.84,6.84,911100
2018-01-16,6.87,6.89,6.71,6.71,6.71,1040800
2018-01-17,6.71,6.85,6.7,6.85,6.85,823200
2018-01-18,6.89,6.89,6.69,6.69,6.69,1021800
2018-01-19,6.73,6.77,6.69,6.7,6.7,895600
2018-01-22,6.7,6.77,6.6,6.6,6.6,1043400
2018-01-23,6.62,6.66,6.39,6.4,6.4,1105200
2018-01-24,6.45,6.87,6.44,6.87,6.87,2294200
2018-01-25,6.87,6.87,6.87,6.87,6.87,0
2018-01-26,6.88,6.88,6.75,6.76,6.76,1174000
2018-01-29,6.77,6.84,6.69,6.79,6.79,731700
2018-01-30,6.75,6.89,6.75,6.85,6.85,1563800
2018-01-31,6.93,7.02,6.81,6.81,6.81,1670700
2018-02-01,6.8,6.97,6.7,6.8,6.8,1340800
2018-02-02,6.74,6.74,6.62,6.64,6.64,1128800
2018-02-05,6.65,6.73,6.54,6.54,6.54,1001600
2018-02-06,6.53,6.72,6.4,6.7,6.7,2026400
2018-02-07,6.7,6.7,6.5,6.5,6.5,1448200
2018-02-08,6.52,6.56,6.4,6.42,6.42,1471400
2018-02-09,6.42,6.47,6.19,6.42,6.42,1354800
2018-02-14,6.45,6.52,6.27,6.27,6.27,2150000
2018-02-15,6.35,6.35,6.15,6.21,6.21,1625100
2018-02-16,6.26,6.26,6.08,6.09,6.09,2000900
2018-02-19,6.14,6.19,6.09,6.18,6.18,670600
2018-02-20,6.2,6.2,6.06,6.06,6.06,1238500
2018-02-21,6.12,6.2,6.07,6.2,6.2,2619300
2018-02-22,6.19,6.19,6.09,6.1,6.1,1260300
2018-02-23,6.13,6.16,6.04,6.08,6.08,1477300
2018-02-26,6.11,6.15,6.08,6.12,6.12,1086500
2018-02-27,6.12,6.13,6.03,6.04,6.04,995200
2018-02-28,6.04,6.1,5.97,5.97,5.97,1343200
2018-03-01,6.0,6.17,5.99,6.1,6.1,1407000
2018-03-02,6.11,6.32,6.08,6.32,6.32,1446800
2018-03-05,6.28,6.28,6.17,6.26,6.26,1672700
2018-03-06,6.22,6.25,5.93,5.99,5.99,1613700
2018-03-07,5.98,6.09,5.67,5.78,5.78,2582200
2018-03-08,5.83,5.87,5.71,5.76,5.76,634700
2018-03-09,5.79,6.0,5.75,5.99,5.99,973700
2018-03-12,6.02,6.07,5.94,6.07,6.07,629800
2018-03-13,6.06,6.11,5.95,6.1,6.1,1105900
2018-03-14,6.1,6.16,5.99,6.01,6.01,1293100
2018-03-15,5.98,5.98,5.65,5.65,5.65,2583200
2018-03-16,5.71,5.72,5.56,5.65,5.65,2607900
2018-03-19,5.61,5.65,5.52,5.58,5.58,1158800
2018-03-20,5.6,5.67,5.53,5.53,5.53,1022400
2018-03-21,5.56,5.66,5.51,5.65,5.65,1871400
2018-03-22,5.67,5.83,5.6,5.7,5.7,1141000
2018-03-23,5.67,5.79,5.59,5.7,5.7,1974900
2018-03-26,5.73,5.9,5.73,5.9,5.9,1592200
2018-03-27,5.87,5.94,5.6,5.63,5.63,2174500
2018-03-28,5.63,5.94,5.61,5.83,5.83,2001000
2018-03-29,5.84,5.94,5.79,5.94,5.94,912300
2018-04-02,5.91,5.98,5.78,5.83,5.83,1432700
2018-04-03,5.89,6.09,5.84,5.95,5.95,1589900
2018-04-04,5.9,6.24,5.84,6.06,6.06,3037500
2018-04-05,6.16,6.3,6.08,6.25,6.25,2159300
2018-04-06,6.25,6.37,6.07,6.22,6.22,1873100
2018-04-09,6.55,7.47,6.55,7.39,7.39,10694100
2018-04-10,7.9,8.94,7.9,8.7,8.7,16866700
2018-04-11,8.76,9.43,7.98,8.2,8.2,15089900
2018-04-12,8.2,8.5,8.11,8.32,8.32,5541500
2018-04-13,8.36,8.62,8.14,8.3,8.3,5081200
2018-04-16,8.31,8.4,8.12,8.2,8.2,4914000
2018-04-17,8.17,8.27,8.06,8.13,8.13,2397300
2018-04-18,7.75,8.27,7.5,8.08,8.08,5823800
2018-04-19,8.12,8.19,7.79,7.97,7.97,3078900
2018-04-20,7.88,8.25,7.8,8.16,8.16,2773800
2018-04-23,8.15,8.37,8.02,8.18,8.18,2482700
2018-04-24,8.25,8.27,7.95,8.08,8.08,1638200
2018-04-25,8.0,8.04,7.86,7.87,7.87,4217000
2018-04-26,7.91,8.06,7.87,8.0,8.0,5017300
2018-04-27,8.06,8.09,7.94,7.98,7.98,12220500
2018-04-30,7.91,8.05,7.84,7.92,7.92,2155000
2018-05-02,7.84,7.95,7.7,7.8,7.8,1957100
2018-05-03,7.77,7.86,7.56,7.59,7.59,1526300
2018-05-04,7.62,7.96,7.51,7.96,7.96,2939000
2018-05-07,7.89,7.93,7.6,7.73,7.73,1968000
2018-05-08,7.72,7.85,7.63,7.66,7.66,2468000
2018-05-09,7.96,8.36,7.96,8.17,8.17,5716200
2018-05-10,8.26,8.5,7.92,8.07,8.07,4688200
2018-05-11,8.16,8.16,7.86,7.89,7.89,1391900
2018-05-14,7.96,7.96,7.58,7.86,7.86,2375300
2018-05-15,7.66,8.05,7.61,7.93,7.93,3130300
2018-05-16,7.93,8.16,7.87,8.07,8.07,2379000
2018-05-17,8.03,8.04,7.78,7.83,7.83,2261400
2018-05-18,7.77,7.93,7.39,7.88,7.88,3537500
2018-05-21,7.89,7.99,7.61,7.67,7.67,2253600
2018-05-22,7.7,7.95,7.65,7.9,7.9,6568800
2018-05-23,8.11,8.87,8.05,8.5,8.5,9478000
2018-05-24,8.4,8.62,8.07,8.35,8.35,4280600
2018-05-25,8.35,8.47,8.09,8.25,8.25,1831500
2018-05-28,8.06,8.15,7.84,8.07,8.07,1052700
2018-05-29,8.16,8.25,7.86,8.09,8.09,2796000
2018-05-30,8.02,8.21,7.79,7.91,7.91,3145700
2018-06-01,7.93,8.07,7.57,7.98,7.98,2681800
2018-06-04,8.0,8.15,7.91,8.1,8.1,2901100
2018-06-05,7.97,8.14,7.94,8.0,8.0,2641300
2018-06-06,8.21,8.25,7.98,8.1,8.1,2521100
2018-06-07,8.1,8.15,7.55,8.04,8.04,7524700
2018-06-08,8.02,8.58,7.96,8.34,8.34,7091100
2018-06-11,8.31,8.47,8.03,8.19,8.19,3101400
2018-06-12,8.1,8.51,8.1,8.45,8.45,2582500
2018-06-13,8.45,8.67,8.22,8.5,8.5,5756500
2018-06-14,8.38,8.54,8.25,8.41,8.41,2346000
2018-06-15,8.3,8.48,8.17,8.23,8.23,4871200
2018-06-18,8.2,8.26,8.03,8.2,8.2,1328300
2018-06-19,8.1,8.3,8.04,8.14,8.14,1898000
2018-06-20,8.24,8.24,7.86,8.0,8.0,2925800
2018-06-21,7.9,7.98,7.74,7.8,7.8,2452000
2018-06-22,7.79,8.17,7.74,7.98,7.98,2926100
2018-06-25,7.98,8.24,7.85,8.09,8.09,2679800
2018-06-26,8.03,8.13,7.88,7.95,7.95,1884900
2018-06-27,8.31,8.52,7.93,8.01,8.01,4737600
2018-06-28,8.03,8.25,8.03,8.11,8.11,2736500
2018-06-29,8.18,8.2,7.9,8.14,8.14,3489000
2018-07-02,8.15,8.28,8.01,8.17,8.17,1554300
2018-07-03,8.25,8.33,8.1,8.21,8.21,1099100
2018-07-04,8.25,8.76,8.14,8.64,8.64,1580300
2018-07-05,8.56,8.76,8.46,8.58,8.58,2254200
2018-07-06,8.65,8.65,8.25,8.33,8.33,1605200
2018-07-10,8.3,8.48,8.23,8.34,8.34,5202200
2018-07-11,8.26,8.38,8.09,8.22,8.22,1248600
2018-07-12,8.19,8.32,8.08,8.18,8.18,1789100
2018-07-13,8.19,8.21,8.02,8.05,8.05,1430300
2018-07-16,8.09,8.11,7.81,7.91,7.91,1835900
2018-07-17,7.95,8.42,7.84,8.24,8.24,14070200
2018-07-18,8.23,8.25,8.0,8.05,8.05,1634500
2018-07-19,8.0,8.04,7.88,8.01,8.01,1140700
2018-07-20,8.08,8.29,8.04,8.12,8.12,1327300
2018-07-23,8.12,8.17,7.91,7.96,7.96,3356400
2018-07-24,8.04,8.07,7.85,8.0,8.0,2473900
2018-07-25,7.98,8.2,7.98,8.16,8.16,2769400
2018-07-26,8.09,8.12,7.89,7.95,7.95,1386900
2018-07-27,7.96,8.04,7.85,7.9,7.9,3261000
2018-07-30,8.05,8.39,8.04,8.14,8.14,5534900
2018-07-31,8.2,8.3,8.1,8.2,8.2,3783300
2018-08-01,8.21,8.41,7.94,8.13,8.13,3750900
2018-08-02,8.1,8.18,7.96,8.12,8.12,1529700
2018-08-03,8.15,8.27,8.08,8.23,8.23,1320000
2018-08-06,8.27,8.27,8.07,8.1,8.1,1603100
2018-08-07,8.1,8.13,7.75,7.8,7.8,3213700
2018-08-08,7.85,7.91,7.46,7.47,7.47,3610200
2018-08-09,7.5,7.58,7.08,7.17,7.17,5220800
2018-08-10,7.17,7.27,6.8,7.17,7.17,6488300
2018-08-13,7.14,7.48,7.03,7.48,7.48,2836700
2018-08-14,7.5,7.53,7.08,7.16,7.16,6406200
2018-08-15,7.12,7.13,6.7,6.7,6.7,7686800
2018-08-16,6.78,6.93,6.65,6.88,6.88,3279100
2018-08-17,7.38,7.45,6.17,6.24,6.24,16276300
2018-08-20,6.35,6.5,6.14,6.46,6.46,10636000
2018-08-21,6.5,6.55,6.17,6.44,6.44,13845600
2018-08-22,6.38,6.46,6.21,6.46,6.46,19125200
2018-08-23,6.38,6.41,6.29,6.35,6.35,7109700
2018-08-24,6.4,6.42,6.2,6.3,6.3,3222700
2018-08-27,6.24,6.25,6.1,6.19,6.19,4125800
2018-08-28,6.24,6.24,5.8,5.94,5.94,11569000
2018-08-29,5.96,6.05,5.9,6.0,6.0,3982400
2018-08-30,5.97,5.99,5.81,5.81,5.81,2403700
2018-08-31,5.82,5.9,5.72,5.72,5.72,3366500
2018-09-03,5.74,5.74,5.57,5.6,5.6,3106400
2018-09-04,5.65,5.79,5.44,5.73,5.73,5689300
2018-09-05,5.7,5.82,5.62,5.64,5.64,2192500
2018-09-06,5.7,5.76,5.57,5.7,5.7,2194200
2018-09-10,5.75,5.79,5.63,5.67,5.67,1612600
2018-09-11,5.6,5.67,5.45,5.5,5.5,1872300
2018-09-12,5.57,5.58,5.37,5.4,5.4,1895700
2018-09-13,5.43,5.46,5.12,5.12,5.12,3057300
2018-09-14,5.16,5.25,5.02,5.11,5.11,4028900
2018-09-17,5.13,5.22,5.04,5.22,5.22,3538700
2018-09-18,5.23,5.28,5.15,5.24,5.24,2989200
2018-09-19,5.22,5.25,5.08,5.15,5.15,2242100
2018-09-20,5.18,5.19,5.08,5.1,5.1,2444700
2018-09-21,5.15,5.43,5.1,5.26,5.26,3300300
2018-09-24,5.25,5.33,5.08,5.15,5.15,4035800
2018-09-25,5.1,5.18,5.05,5.18,5.18,1675200
2018-09-26,5.14,5.3,5.14,5.22,5.22,1853900
2018-09-27,5.21,5.43,5.21,5.39,5.39,6679600
2018-09-28,5.28,5.37,5.25,5.3,5.3,1420300
2018-10-01,5.25,5.28,5.15,5.2,5.2,1988500
2018-10-02,5.25,5.42,5.24,5.28,5.28,4759800
2018-10-03,5.35,5.4,5.23,5.23,5.23,5005200
2018-10-04,5.21,5.25,5.13,5.18,5.18,2570100
2018-10-05,5.22,5.25,5.09,5.17,5.17,2952300
2018-10-08,5.27,5.45,5.27,5.4,5.4,5332200
2018-10-09,5.41,5.87,5.41,5.81,5.81,6121100
2018-10-10,5.77,5.82,5.61,5.69,5.69,3100000
