Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,17.55,18.24,17.55,17.85,17.75,313600
2017-09-29,18.03,18.19,17.72,17.9,17.8,1148900
2017-10-02,18.04,18.33,17.69,17.91,17.81,361200
2017-10-03,18.07,18.12,17.74,18.0,17.9,1131200
2017-10-04,18.05,18.06,17.61,17.8,17.7,592200
2017-10-05,17.82,18.19,17.59,18.19,18.09,1190000
2017-10-06,18.08,18.08,17.69,17.99,17.89,329900
2017-10-09,17.95,18.06,17.7,18.0,17.9,126300
2017-10-10,18.02,18.19,17.81,17.96,17.86,175300
2017-10-11,18.06,18.18,17.75,18.02,17.92,111000
2017-10-12,18.02,18.02,18.02,18.02,17.92,0
2017-10-13,18.0,18.2,17.82,18.1,18.0,130900
2017-10-16,18.14,18.19,17.85,17.85,17.75,268400
2017-10-17,17.82,18.06,17.66,17.76,17.66,2181400
2017-10-18,17.93,17.99,17.41,17.65,17.56,328500
2017-10-19,17.66,17.89,17.47,17.89,17.79,162000
2017-10-20,17.92,18.09,17.76,17.95,17.85,614900
2017-10-23,18.09,18.09,17.7,17.9,17.8,320700
2017-10-24,17.89,18.06,17.61,17.61,17.52,248800
2017-10-25,17.55,17.76,17.39,17.5,17.41,242600
2017-10-26,17.62,17.73,17.2,17.4,17.31,135400
2017-10-27,17.5,17.73,17.17,17.4,17.31,265600
2017-10-30,17.26,17.75,17.24,17.75,17.65,206500
2017-10-31,17.8,17.87,17.31,17.45,17.36,222300
2017-11-01,17.45,18.02,17.26,18.02,17.92,132900
2017-11-02,18.02,18.02,18.02,18.02,17.92,0
2017-11-03,17.96,18.06,17.6,17.9,17.8,134300
2017-11-06,17.99,18.49,17.46,17.7,17.61,285100
2017-11-07,17.81,18.08,17.0,17.27,17.18,589500
2017-11-08,17.34,17.45,17.01,17.27,17.18,999900
2017-11-09,17.32,17.45,16.99,17.03,16.94,136100
2017-11-10,17.05,17.25,16.66,17.01,16.92,121000
2017-11-13,17.09,17.39,16.87,17.22,17.13,385200
2017-11-14,17.37,17.73,17.14,17.3,17.21,289700
2017-11-15,17.3,17.3,17.3,17.3,17.21,0
2017-11-16,17.48,17.69,17.28,17.5,17.41,208200
2017-11-17,17.46,18.0,17.34,18.0,17.9,200500
2017-11-20,18.0,18.0,18.0,18.0,17.9,0
2017-11-21,17.98,18.11,17.62,17.8,17.7,280200
2017-11-22,17.98,17.98,17.47,17.79,17.69,258100
2017-11-23,17.78,17.78,17.52,17.78,17.68,112900
2017-11-24,17.92,17.92,17.66,17.78,17.68,130000
2017-11-27,17.66,17.85,17.51,17.85,17.75,354900
2017-11-28,17.89,17.93,17.6,17.6,17.51,184500
2017-11-29,17.61,18.18,17.27,17.38,17.29,124700
2017-11-30,17.32,17.39,17.0,17.3,17.21,185500
2017-12-01,17.37,17.37,17.06,17.27,17.18,214400
2017-12-04,17.46,17.46,17.13,17.15,17.06,85800
2017-12-05,17.25,17.38,17.0,17.25,17.16,499700
2017-12-06,17.16,17.34,16.85,17.3,17.21,146300
2017-12-07,17.19,17.26,16.74,17.04,16.95,488400
2017-12-08,17.09,17.34,16.89,16.94,16.85,150400
2017-12-11,16.99,17.09,16.76,16.76,16.67,263800
2017-12-12,16.69,16.74,16.35,16.4,16.31,371000
2017-12-13,16.54,16.59,16.23,16.4,16.31,84100
2017-12-14,16.41,16.45,16.13,16.26,16.17,91200
2017-12-15,16.33,16.38,16.04,16.2,16.11,94100
2017-12-18,16.54,17.12,16.11,16.9,16.81,1275400
2017-12-19,16.71,16.81,16.38,16.81,16.72,258600
2017-12-20,17.02,17.19,16.66,17.04,16.95,214600
2017-12-21,17.0,17.18,16.73,17.17,17.08,376000
2017-12-22,17.26,17.28,16.85,17.05,16.96,212000
2017-12-25,17.05,17.05,17.05,17.05,16.96,0
2017-12-26,17.31,17.34,16.86,17.34,17.25,155900
2017-12-27,17.33,17.45,17.15,17.32,17.23,177700
2017-12-28,17.47,17.74,17.16,17.5,17.41,648600
2017-12-29,17.5,17.5,17.5,17.5,17.41,0
2018-01-02,17.62,17.73,17.23,17.3,17.21,135300
2018-01-03,17.3,17.58,17.2,17.2,17.11,186100
2018-01-04,17.23,17.38,16.95,17.0,16.91,200600
2018-01-05,17.02,17.3,16.81,17.3,17.21,158500
2018-01-08,17.37,17.38,16.87,17.2,17.11,757900
2018-01-09,17.11,17.24,16.81,16.83,16.74,145300
2018-01-10,16.86,16.92,16.37,16.5,16.41,1029600
2018-01-11,16.6,17.04,16.36,16.97,16.88,142700
2018-01-12,16.86,17.08,16.81,16.89,16.8,672900
2018-01-15,16.74,16.98,16.65,16.98,16.89,253200
2018-01-16,17.05,17.05,16.72,17.0,16.91,214900
2018-01-17,17.0,17.12,16.87,16.95,16.86,103300
2018-01-18,17.0,17.45,16.84,17.15,17.06,151600
2018-01-19,17.29,17.49,17.05,17.49,17.4,95500
2018-01-22,17.48,17.5,17.33,17.44,17.35,87400
2018-01-23,17.44,17.5,17.32,17.49,17.4,75600
2018-01-24,17.49,17.95,17.25,17.81,17.71,287600
2018-01-25,17.81,17.81,17.81,17.81,17.71,0
2018-01-26,17.99,18.04,17.51,17.7,17.61,222700
2018-01-29,17.73,17.99,17.27,17.7,17.61,211000
2018-01-30,17.71,17.98,17.46,17.65,17.56,205100
2018-01-31,17.8,18.05,17.66,17.9,17.8,306000
2018-02-01,18.0,18.05,17.69,17.97,17.87,331800
2018-02-02,17.95,17.96,17.61,17.64,17.55,240600
2018-02-05,17.64,17.82,17.3,17.54,17.45,147300
2018-02-06,17.61,17.79,17.35,17.64,17.55,96500
2018-02-07,17.6,18.27,17.54,17.95,17.85,287500
2018-02-08,17.95,18.06,17.51,17.89,17.79,193500
2018-02-09,17.93,18.31,17.67,17.9,17.8,213500
2018-02-14,17.96,18.26,17.44,17.9,17.8,194700
2018-02-15,17.93,18.02,17.66,17.85,17.75,170700
2018-02-16,17.81,18.13,17.81,18.13,18.03,650700
2018-02-19,18.14,18.27,17.97,18.16,18.06,262700
2018-02-20,18.15,18.35,18.02,18.28,18.18,149400
2018-02-21,18.34,18.49,18.18,18.25,18.15,802300
2018-02-22,18.37,18.63,18.2,18.28,18.18,212600
2018-02-23,18.18,18.43,18.11,18.28,18.18,194400
2018-02-26,18.45,18.5,18.05,18.3,18.2,306700
2018-02-27,18.32,18.43,18.04,18.25,18.15,201200
2018-02-28,18.29,18.75,18.05,18.45,18.35,170600
2018-03-01,18.49,18.54,18.2,18.49,18.39,111100
2018-03-02,18.54,18.54,17.9,18.14,18.04,248600
2018-03-05,18.04,18.32,18.01,18.1,18.0,98400
2018-03-06,18.16,18.38,17.86,18.38,18.28,121300
2018-03-07,18.38,18.47,18.16,18.47,18.37,383500
2018-03-08,18.37,18.64,18.13,18.13,18.03,196400
2018-03-09,18.05,18.25,17.98,18.05,17.95,143200
2018-03-12,18.18,18.21,17.92,18.05,17.95,328200
2018-03-13,18.15,18.57,17.92,18.32,18.22,201500
2018-03-14,18.28,18.59,17.93,17.95,17.85,207500
2018-03-15,17.98,18.06,17.68,17.89,17.79,162200
2018-03-16,17.91,18.02,17.56,17.56,17.47,253900
2018-03-19,17.56,18.07,17.33,17.89,17.79,254000
2018-03-20,18.0,18.1,17.25,17.32,17.23,322700
2018-03-21,17.41,17.65,17.16,17.65,17.56,183600
2018-03-22,17.62,17.95,17.43,17.65,17.56,2072400
2018-03-23,17.63,17.94,17.48,17.7,17.61,100800
2018-03-26,18.02,18.06,17.56,17.85,17.75,261000
2018-03-27,18.02,18.02,17.51,17.85,17.75,110100
2018-03-28,17.71,18.4,17.47,18.15,18.05,313800
2018-03-29,18.1,18.32,18.01,18.2,18.1,455000
2018-04-02,18.26,18.29,17.94,18.05,17.95,142900
2018-04-03,18.06,18.2,17.78,17.96,17.86,746300
2018-04-04,17.95,18.2,17.47,18.2,18.1,153500
2018-04-05,18.35,18.35,17.97,18.15,18.05,97200
2018-04-06,18.2,18.22,17.65,17.77,17.67,156200
2018-04-09,17.79,18.19,17.77,18.05,17.95,183500
2018-04-10,18.11,18.15,17.59,18.1,18.0,180900
2018-04-11,18.24,18.25,17.48,17.8,17.7,131900
2018-04-12,17.9,17.91,17.53,17.7,17.61,430200
2018-04-13,17.74,18.0,17.57,17.7,17.61,147800
2018-04-16,17.59,17.75,17.32,17.7,17.61,514300
2018-04-17,17.68,17.78,17.44,17.55,17.46,222300
2018-04-18,17.53,17.79,17.21,17.26,17.17,291800
2018-04-19,17.19,17.35,16.81,17.11,17.02,341000
2018-04-20,17.17,17.51,16.8,17.0,16.91,166700
2018-04-23,17.06,17.34,16.75,17.21,17.12,1468100
2018-04-24,17.29,17.37,16.93,17.0,16.91,354300
2018-04-25,17.04,17.09,16.8,16.99,16.9,98000
2018-04-26,17.01,17.31,16.89,17.14,17.05,107900
2018-04-27,17.33,17.65,16.9,16.93,16.84,509800
2018-04-30,17.05,17.09,16.55,16.86,16.86,169300
2018-05-02,16.75,17.14,16.51,17.05,17.05,200700
2018-05-03,17.04,17.26,16.65,16.9,16.9,141700
