Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,31.51,31.85,31.28,31.75,30.19,17561400
2017-09-29,32.14,32.4,31.61,31.87,30.31,16047100
2017-10-02,32.25,32.43,31.87,31.9,30.33,13596900
2017-10-03,32.09,32.68,31.76,32.68,31.08,23474600
2017-10-04,32.88,33.07,32.61,32.61,31.01,17562500
2017-10-05,33.0,33.19,32.24,32.27,30.69,17253100
2017-10-06,32.07,32.15,31.83,32.14,30.56,12450500
2017-10-09,32.05,32.1,31.26,31.5,29.95,13520900
2017-10-10,31.65,31.7,30.94,31.32,29.78,20181500
2017-10-11,30.94,31.49,30.73,31.1,29.57,23041300
2017-10-12,31.1,31.1,31.1,31.1,29.57,0
2017-10-13,32.1,33.1,32.0,32.91,31.29,31395900
2017-10-16,33.38,33.64,32.83,33.35,31.71,35861900
2017-10-17,33.11,33.32,32.58,32.58,30.98,19842700
2017-10-18,32.76,32.95,31.79,32.27,30.69,21210600
2017-10-19,31.75,33.07,31.71,33.0,31.38,18549800
2017-10-20,33.75,33.78,32.95,32.95,31.33,24301000
2017-10-23,33.0,33.2,32.64,32.71,31.1,11948700
2017-10-24,32.88,33.83,32.55,33.83,32.17,19996200
2017-10-25,33.63,33.86,33.07,33.55,31.9,16724100
2017-10-26,33.87,33.9,32.67,32.67,31.07,25302400
2017-10-27,32.29,32.87,32.03,32.55,30.95,17377200
2017-10-30,32.19,32.93,31.84,32.35,30.76,19401600
2017-10-31,32.42,32.69,32.01,32.1,30.52,14629600
2017-11-01,32.8,33.28,32.69,32.82,31.21,29709500
2017-11-02,32.82,32.82,32.82,32.82,31.21,0
2017-11-03,33.2,33.54,33.0,33.54,31.89,29217800
2017-11-06,33.89,34.34,33.83,34.34,32.65,26333200
2017-11-07,34.24,34.24,33.52,33.52,31.87,20239700
2017-11-08,33.81,33.95,33.45,33.94,32.27,11580800
2017-11-09,33.7,33.71,32.8,32.8,31.19,19246700
2017-11-10,32.78,33.03,32.5,32.77,31.16,12199100
2017-11-13,32.84,33.44,32.59,33.14,31.51,12424700
2017-11-14,33.02,33.1,31.94,32.16,30.58,23389800
2017-11-15,32.16,32.16,32.16,32.16,30.58,0
2017-11-16,32.46,32.79,32.03,32.6,31.0,16280300
2017-11-17,32.59,33.17,32.32,32.92,31.3,13771300
2017-11-20,32.92,32.92,32.92,32.92,31.3,0
2017-11-21,33.29,34.05,33.15,34.05,32.38,23741300
2017-11-22,34.4,34.97,34.28,34.74,33.03,22150200
2017-11-23,34.83,35.35,34.57,35.2,33.47,11962000
2017-11-24,35.18,35.85,35.11,35.79,34.03,30784900
2017-11-27,35.46,35.78,35.08,35.41,33.67,15112700
2017-11-28,35.45,36.65,35.25,36.25,34.47,28591400
2017-11-29,36.28,36.58,35.63,35.7,33.95,18176000
2017-11-30,35.7,36.08,34.93,35.14,33.41,25417200
2017-12-01,35.2,35.97,34.89,35.48,33.74,17204100
2017-12-04,35.96,36.98,35.85,36.83,35.02,22600100
2017-12-05,36.81,37.4,36.02,36.02,34.25,25898800
2017-12-06,35.58,35.99,35.36,35.76,34.0,20400800
2017-12-07,35.05,35.5,34.9,35.34,33.61,19876200
2017-12-08,35.81,35.95,35.46,35.48,33.74,21502200
2017-12-11,35.83,36.0,35.48,35.76,34.0,14785300
2017-12-12,35.63,36.18,35.22,36.18,34.4,17624400
2017-12-13,36.43,36.48,36.05,36.11,34.34,21135300
2017-12-14,35.91,36.58,35.79,36.24,34.46,17718000
2017-12-15,36.51,37.28,36.36,36.89,35.08,32954100
2017-12-18,37.49,38.02,37.34,37.84,35.98,24339300
2017-12-19,37.71,38.1,37.64,37.85,35.99,14041000
