Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,7.0,7.4,6.98,7.28,7.24,26000
2017-09-29,7.27,7.89,7.27,7.84,7.8,71100
2017-10-02,7.89,8.0,7.81,7.99,7.95,34100
2017-10-03,8.0,8.36,8.0,8.19,8.15,56400
2017-10-04,8.13,8.42,8.01,8.35,8.31,47800
2017-10-05,8.35,8.6,8.05,8.05,8.01,46900
2017-10-06,8.0,8.3,7.79,8.18,8.14,22100
2017-10-09,8.2,8.35,7.85,8.02,7.98,22400
2017-10-10,8.3,8.35,7.98,8.21,8.17,18700
2017-10-11,8.05,8.1,7.87,8.03,7.99,18600
2017-10-12,8.03,8.03,8.03,8.03,7.99,0
2017-10-13,7.88,7.88,7.2,7.56,7.52,75600
2017-10-16,7.63,7.63,7.24,7.3,7.26,47200
2017-10-17,7.45,7.6,7.15,7.15,7.11,26100
2017-10-18,7.3,7.68,7.3,7.67,7.63,44700
2017-10-19,7.75,7.95,7.6,7.82,7.78,43700
2017-10-20,7.93,7.97,7.51,7.65,7.61,34300
2017-10-23,7.51,7.89,7.35,7.52,7.48,45300
2017-10-24,7.51,7.89,7.35,7.7,7.66,35500
2017-10-25,7.82,8.0,7.82,8.0,7.96,33700
2017-10-26,8.24,8.24,7.7,7.78,7.74,39000
2017-10-27,7.78,7.86,7.35,7.4,7.36,55600
2017-10-30,7.4,7.59,7.35,7.39,7.35,29900
2017-10-31,7.58,7.61,7.41,7.6,7.56,12400
2017-11-01,7.78,7.8,7.35,7.35,7.31,13500
2017-11-02,7.35,7.35,7.35,7.35,7.31,0
2017-11-03,7.36,7.55,7.35,7.4,7.36,15300
2017-11-06,7.6,7.75,7.35,7.35,7.31,11800
2017-11-07,7.48,7.5,7.0,7.24,7.2,53100
2017-11-08,7.24,7.3,7.1,7.3,7.26,12400
2017-11-09,7.2,7.2,7.0,7.03,7.0,8200
2017-11-10,6.98,7.19,6.33,6.52,6.49,33800
2017-11-13,6.21,7.05,6.21,6.89,6.86,11300
2017-11-14,6.9,7.3,6.88,7.25,7.21,11400
2017-11-15,7.25,7.25,7.25,7.25,7.21,0
2017-11-16,7.04,7.5,6.94,7.5,7.46,20000
2017-11-17,7.69,7.9,7.4,7.87,7.83,30400
2017-11-20,7.87,7.87,7.87,7.87,7.83,0
2017-11-21,7.87,8.02,7.48,7.5,7.46,17900
2017-11-22,7.89,7.89,7.5,7.61,7.57,22500
2017-11-23,7.5,7.59,7.48,7.48,7.44,4600
2017-11-24,7.67,7.79,7.6,7.7,7.66,15000
2017-11-27,7.8,7.8,7.7,7.77,7.73,15100
2017-11-28,7.8,7.94,7.6,7.6,7.56,17400
2017-11-29,7.7,7.79,7.47,7.55,7.51,11400
2017-11-30,7.48,7.57,7.04,7.36,7.32,11500
2017-12-01,7.5,7.63,7.03,7.45,7.41,6100
2017-12-04,7.39,7.39,7.15,7.15,7.11,8100
